Number,CEID,Status ( >0 : Enable; <0 : Disable),Comment,
  135),1282,1,E30 : LP2__SLOT_MAP_STATUS__SLOT_MAP_NOT_READ,

  136),1283,1,E30 : LP2__SLOT_MAP_STATUS__SLOT_MAP_WAITING_FOR_HOST,

  137),1284,1,E30 : LP2__SLOT_MAP_STATUS__SLOT_MAP_VERIFICATION_OK,

  138),1285,1,E30 : LP2__SLOT_MAP_STATUS__SLOT_MAP_VERIFICATION_FAILED,

  139),1286,1,E30 : LP2__CARRIER_ACCESS_STATUS__NOT_ACCESSED,

  140),1287,1,E30 : LP2__CARRIER_ACCESS_STATUS__IN_ACCESS,

  141),1288,1,E30 : LP2__CARRIER_ACCESS_STATUS__CARRIER_COMPLETE,

  142),1289,1,E30 : LP2__CARRIER_ACCESS_STATUS__CARRIER_STOPPED,

  143),1290,1,E30 : LP2__RESERVATION_STATUS__NOT_RESERVED,

  144),1291,1,E30 : LP2__RESERVATION_STATUS__RESERVED,

  145),1292,1,E30 : LP2__ASSOCIATION_STATUS__NOT_ASSOCIATED,

  146),1293,1,E30 : LP2__ASSOCIATION_STATUS__ASSOCIATED,

  147),1294,1,E30 : LP2__TRANSFER_STATUS__OUT_OF_SERVICE,

  148),1295,1,E30 : LP2__TRANSFER_STATUS__TRANSFER_BLOCKED,

  149),1296,1,E30 : LP2__TRANSFER_STATUS__READY_TO_LOAD,

  150),1297,1,E30 : LP2__TRANSFER_STATUS__READY_TO_UNLOAD,

  151),1298,1,E30 : LP2__TRANSFER_STATUS__IN_SERVICE,

  152),1401,1,E30 : LP3_STATUS_CHANGE,

  153),1402,1,E30 : LP3_START,

  154),1403,1,E30 : LP3_RESERVE,

  155),1404,1,E30 : LP3_COMPLETE,

  156),1405,1,E30 : LP3_CANCEL,

  157),1406,1,E30 : LP3_PAUSE,

  158),1407,1,E30 : LP3_RESUME,

  159),1408,1,E30 : LP3_STOP,

  160),1409,1,E30 : LP3_ABORT,

  161),1411,1,E30 : LP3_FOUP_DOOR_OPEN,

  162),1412,1,E30 : LP3_FOUP_DOOR_CLOSE,

  163),1413,1,E30 : LP3_FOUP_CLAMPED,

  164),1414,1,E30 : LP3_FOUP_UNCLAMPED,

  165),1415,1,E30 : LP3_FOUP_DOCKED,

  166),1416,1,E30 : LP3_FOUP_UNDOCKED,

  167),1421,1,E30 : LP3_CSTID_READ_START,

  168),1422,1,E30 : LP3_CSTID_READ_END,

  169),1426,1,E30 : LP3_SLOT_MAP_START,

  170),1427,1,E30 : LP3_SLOT_MAP_END,

  171),1428,1,E30 : LP3_FIRST_WAFER_FROM_FOUP,

  172),1429,1,E30 : LP3_LAST_WAFER_INTO_FOUP,

  173),1436,1,E30 : LP3_WAFER_FROM_FOUP,

  174),1437,1,E30 : LP3_WAFER_INTO_FOUP,

  175),1438,1,E30 : LP3_WAFER_MHP_REPORT,

  176),1441,1,E30 : LP3_WAFER_TRANSFER_START,

  177),1442,1,E30 : LP3_WAFER_TRANSFER_END,

  178),1446,1,E30 : LP3_WAFER_INTO_PMC,

  179),1447,1,E30 : LP3_WAFER_FROM_PMC,

  180),1451,1,E30 : LP3_WAFER_PROCESS_START,

  181),1452,1,E30 : LP3_WAFER_PROCESS_END,

  182),1453,1,E30 : LP3_WAFER_PROCESS_DATA_REPORT,

  183),1456,1,E30 : LP3_WAFER_STEP_START,

  184),1457,1,E30 : LP3_WAFER_STEP_END,

  185),1458,1,E30 : LP3_WAFER_STEP_DATA_REPORT,

  186),1461,1,E30 : LP3_WAFER_VISIT_HISTORY_REPORT,

  187),1462,1,E30 : LP3_LOT_DATA_REPORT,

  188),1471,1,E30 : LP3_LOAD_REQUEST,

  189),1472,1,E30 : LP3_LOAD_COMPLETE,

  190),1473,1,E30 : LP3_UNLOAD_REQUEST,

  191),1474,1,E30 : LP3_UNLOAD_COMPLETE,

  192),1476,1,E30 : LP3__ACCESS_MODE__AUTO,

  193),1477,1,E30 : LP3__ACCESS_MODE__MANUAL,

  194),1478,1,E30 : LP3__CARRIER_ID_STATUS__ID_NOT_READ,

  195),1479,1,E30 : LP3__CARRIER_ID_STATUS__ID_WAITING_FOR_HOST,

  196),1480,1,E30 : LP3__CARRIER_ID_STATUS__ID_VERIFICATION_OK,

  197),1481,1,E30 : LP3__CARRIER_ID_STATUS__ID_VERIFICATION_FAILED,

  198),1482,1,E30 : LP3__SLOT_MAP_STATUS__SLOT_MAP_NOT_READ,

  199),1483,1,E30 : LP3__SLOT_MAP_STATUS__SLOT_MAP_WAITING_FOR_HOST,

  200),1484,1,E30 : LP3__SLOT_MAP_STATUS__SLOT_MAP_VERIFICATION_OK,

  201),1485,1,E30 : LP3__SLOT_MAP_STATUS__SLOT_MAP_VERIFICATION_FAILED,

  202),1486,1,E30 : LP3__CARRIER_ACCESS_STATUS__NOT_ACCESSED,

  203),1487,1,E30 : LP3__CARRIER_ACCESS_STATUS__IN_ACCESS,

  204),1488,1,E30 : LP3__CARRIER_ACCESS_STATUS__CARRIER_COMPLETE,

  205),1489,1,E30 : LP3__CARRIER_ACCESS_STATUS__CARRIER_STOPPED,

  206),1490,1,E30 : LP3__RESERVATION_STATUS__NOT_RESERVED,

  207),1491,1,E30 : LP3__RESERVATION_STATUS__RESERVED,

  208),1492,1,E30 : LP3__ASSOCIATION_STATUS__NOT_ASSOCIATED,

  209),1493,1,E30 : LP3__ASSOCIATION_STATUS__ASSOCIATED,

  210),1494,1,E30 : LP3__TRANSFER_STATUS__OUT_OF_SERVICE,

  211),1495,1,E30 : LP3__TRANSFER_STATUS__TRANSFER_BLOCKED,

  212),1496,1,E30 : LP3__TRANSFER_STATUS__READY_TO_LOAD,

  213),1497,1,E30 : LP3__TRANSFER_STATUS__READY_TO_UNLOAD,

  214),1498,1,E30 : LP3__TRANSFER_STATUS__IN_SERVICE,

  215),101,1,E40 : SCT01,

  216),102,1,E40 : SCT02,

  217),103,1,E40 : SCT03,

  218),104,1,E40 : SCT04,

  219),105,1,E40 : SCT05,

  220),106,1,E40 : SCT06,

  221),107,1,E40 : SCT07,

  222),108,1,E40 : SCT08,

  223),109,1,E40 : SCT09,

  224),110,1,E40 : SCT10,

  225),111,1,E40 : SCT11,

  226),112,1,E40 : SCT12,

  227),113,1,E40 : SCT13,

  228),114,1,E40 : SCT14,

  229),115,1,E40 : SCT15,

  230),116,1,E40 : SCT16,

  231),117,1,E40 : SCT17,

  232),118,1,E40 : SCT18,

  233),121,1,E40 : PRJOB_QUEUED,

  234),122,1,E40 : PRJOB_SETUP,

  235),123,1,E40 : PRJOB_WAITING_FOR_START,

  236),124,1,E40 : PRJOB_PROCESSING,

  237),125,1,E40 : PRJOB_PROCESSING_COMPLETE,

  238),126,1,E40 : PRJOB_PAUSING,

  239),127,1,E40 : PRJOB_PAUSED,

  240),128,1,E40 : PRJOB_ABORTING,

  241),129,1,E40 : PRJOB_COMPLETE,

  242),130,1,E40 : PRJOB_WAITING_FOR_MATERIAL,

  243),131,1,E40 : PRJOB_STATE_CHANGE,

  244),132,1,E40 : PRJOB_RESUMED,

  245),133,1,E40 : PRJOB_STOPPING,

  246),134,1,E40 : PRJOB_CANCELED,

  247),201,1,E87 : LPTSM_01__OUT_OF_SERVICE,

  248),202,1,E87 : LPTSM_01__IN_SERVICE,

  249),203,1,E87 : LPTSM_02,

  250),204,1,E87 : LPTSM_03,

  251),205,1,E87 : LPTSM_04__TRANSFER_READY,

  252),206,1,E87 : LPTSM_04__TRANSFER_BLOCKED,

  253),207,1,E87 : LPTSM_05__READY_TO_LOAD,

  254),208,1,E87 : LPTSM_05__READY_TO_UNLOAD,

  255),209,1,E87 : LPTSM_06,

  256),210,1,E87 : LPTSM_07,

  257),211,1,E87 : LPTSM_08,

  258),212,1,E87 : LPTSM_09,

  259),213,1,E87 : LPTSM_10,

  260),221,1,E87 : COSM_01,

  261),222,1,E87 : COSM_02,

  262),223,1,E87 : COSM_03,

  263),224,1,E87 : COSM_04,

  264),225,1,E87 : COSM_05,

  265),226,1,E87 : COSM_06,

  266),227,1,E87 : COSM_07,

  267),228,1,E87 : COSM_08,

  268),229,1,E87 : COSM_09,

  269),230,1,E87 : COSM_10,

  270),231,1,E87 : COSM_11,

  271),232,1,E87 : COSM_12,

  272),233,1,E87 : COSM_13,

  273),234,1,E87 : COSM_14,

  274),235,1,E87 : COSM_15,

  275),236,1,E87 : COSM_16,

  276),237,1,E87 : COSM_17,

  277),238,1,E87 : COSM_18,

  278),239,1,E87 : COSM_19,

  279),240,1,E87 : COSM_20,

  280),241,1,E87 : COSM_21,

  281),251,1,E87 : AMSM_01_MANUAL,

  282),252,1,E87 : AMSM_01_AUTO,

  283),253,1,E87 : AMSM_02,

  284),254,1,E87 : AMSM_03,

  285),261,1,E87 : LPRSM_01,

  286),262,1,E87 : LPRSM_02,

  287),263,1,E87 : LPRSM_03,

  288),271,1,E87 : LPCASM_01,

  289),272,1,E87 : LPCASM_02,

  290),273,1,E87 : LPCASM_03,

  291),274,1,E87 : LPCASM_04,

  292),280,1,E87 : UNKNOWN_CARRIERID,

  293),281,1,E87 : CARRIER_APPROACHING_COMPLETE,

  294),282,1,E87 : CARRIER_CLOSED,

  295),283,1,E87 : CARRIER_UNCLAMPED,

  296),284,1,E87 : ID_READER_UNAVAILABLE,

  297),285,1,E87 : ID_READER_AVILABLE,

  298),286,1,E87 : CARRIERID_READ_FAIL,

  299),287,1,E87 : CARRIER_CLAMPED,

  300),288,1,E87 : CARRIER_LOCATION_CHANGE,

  301),289,1,E87 : CARRIER_OPENED,

  302),301,1,E90 : SLSM__NOSTATE_TO_UNOCCUPIED,

  303),302,1,E90 : SLSM__NOSTATE_TO_OCCUPIED,

  304),303,1,E90 : SLSM__UNOCCUPIED_TO_OCCUPIED,

  305),304,1,E90 : SLSM__OCCUPIED_TO_UNOCCUPIED,

  306),305,1,E90 : SLSM__UNOCCUPIED_TO_NOSTATE,

  307),306,1,E90 : SLSM__OCCUPIED_TO_NOSTATE,

  308),311,1,E90 : SOSM__NOSTATE_TO_AT_SOURCE,

  309),312,1,E90 : SOSM__AT_SOURCE_TO_AT_WORK,

  310),313,1,E90 : SOSM__AT_WORK_TO_AT_SOURCE,

  311),314,1,E90 : SOSM__AT_WORK_TO_AT_WORK,

  312),315,1,E90 : SOSM__AT_WORK_TO_AT_DESTINATION,

  313),316,1,E90 : SOSM__AT_DESTINATION_TO_AT_WORK,

  314),317,1,E90 : SOSM__AT_DESTINATION_TO_EXTINCTION,

  315),318,1,E90 : SOSM__AT_DESTINATION_TO_AT_SOURCE,

  316),319,1,E90 : SOSM__ANY_SUBSTRATE_TO_EXTINCTION,

  317),320,1,E90 : SOSM__NOSTATE_TO_NEEDS_PROCESSING,

  318),321,1,E90 : SOSM__NEEDS_PROCESSING_TO_IN_PROCESS,

  319),322,1,E90 : SOSM__IN_PROCESS_TO_PROC_COMP__PROCESSED,

  320),323,1,E90 : SOSM__IN_PROCESS_TO_PROC_COMP__ABORTED,

  321),324,1,E90 : SOSM__IN_PROCESS_TO_PROC_COMP__STOPPED,

  322),325,1,E90 : SOSM__IN_PROCESS_TO_PROC_COMP__REJECTED,

  323),326,1,E90 : SOSM__IN_PROCESS_TO_PROC_COMP__LOST,

  324),327,1,E90 : SOSM__IN_PROCESS_TO_PROC_COMP__SKIPPED,

  325),328,1,E90 : SOSM__IN_PROCESS_TO_NEEDS_PROCESSING,

  326),329,1,E90 : SOSM__NEEDS_PROCESSING_TO_PROC_COMP__LOST,

  327),330,1,E90 : SOSM__NEEDS_PROCESSING_TO_PROC_COMP__SKIPPED,

  328),341,1,E90 : SOBJ__AT_SOURCE,

  329),342,1,E90 : SOBJ__AT_WORK,

  330),343,1,E90 : SOBJ__DESTINATION,

  331),344,1,E90 : SOBJ__INPROCESS,

  332),345,1,E90 : SOBJ__PROCESSED,

  333),346,1,E90 : SOBJ__UNOCCUPIED,

  334),347,1,E90 : SOBJ__OCCUPIED,

  335),401,1,E94 : CJSM_01,

  336),402,1,E94 : CJSM_02,

  337),403,1,E94 : CJSM_03,

  338),404,1,E94 : CJSM_04,

  339),405,1,E94 : CJSM_05,

  340),406,1,E94 : CJSM_06,

  341),407,1,E94 : CJSM_07,

  342),408,1,E94 : CJSM_08,

  343),409,1,E94 : CJSM_09,

  344),410,1,E94 : CJSM_10,

  345),411,1,E94 : CJSM_11,

  346),412,1,E94 : CJSM_12,

  347),413,1,E94 : CJSM_13,

